nJobs = 10;
nMachines = 10;

// Machines used by each job at each operation (1..10)
machine = [
  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10],
  [2, 1, 4, 3, 6, 5, 8, 7, 10, 9],
  [3, 4, 1, 2, 7, 8, 5, 6, 9, 10],
  [4, 3, 2, 1, 8, 7, 6, 5, 10, 9],
  [5, 6, 7, 8, 1, 2, 3, 4, 9, 10],
  [6, 5, 8, 7, 2, 1, 4, 3, 10, 9],
  [7, 8, 5, 6, 3, 4, 1, 2, 9, 10],
  [8, 7, 6, 5, 4, 3, 2, 1, 10, 9],
  [9, 10, 1, 2, 3, 4, 5, 6, 7, 8],
  [10, 9, 2, 1, 4, 3, 6, 5, 8, 7]
];

// Processing times
duration = [
  [29, 78,  9, 36, 49, 11, 62, 56, 44, 21],
  [43, 90, 75, 11, 69, 28, 46, 46, 72, 30],
  [91, 85, 39, 74, 90, 10, 12, 89, 45, 33],
  [81, 95, 71, 99,  9, 52, 85, 98, 22, 43],
  [14,  6, 22, 61, 26, 69, 21, 49, 72, 53],
  [84,  2, 52, 95, 48, 72, 47, 65,  6, 25],
  [46, 37, 61, 13, 32, 21, 32, 89, 30, 55],
  [31, 86, 46, 74, 32, 88, 19, 48, 36, 79],
  [76, 69, 76, 51, 85, 11, 40, 89, 26, 74],
  [85, 13, 61,  7, 64, 76, 47, 52, 90, 45]
];
